date,time,distance,avg_speed,max_speed,avg_heartrate,max_heartrate,elevation_gain,avg_power,max_power,total_work,avg_cadence,max_cadence,calories_burned,shoe
2024/5/23,0:18:31,1.96,0:09:24,0:06:02,177,202,0,,,,,,208,Asics Gel-Kayano 28
2024/5/28,0:27:00,2.84,0:09:30,0:06:38,168,183,94,,,,,,257,Asics Gel-Kayano 28
2024/5/30,0:23:07,2.71,0:08:31,0:06:41,171,190,100,,,,,,251,Asics Gel-Kayano 28
2024/6/1,0:11:58,1.43,0:08:22,0:05:00,176,197,170,,,,,,143,Asics Gel-Kayano 28
2024/6/3,0:12:53,1.4,0:09:11,0:06:43,171,192,172,,,,,,136,Asics Gel-Kayano 28
2024/6/7,0:56:48,5.38,0:10:32,0:07:32,169,191,656,,,,,,530,Asics Gel-Kayano 28
2024/6/10,0:08:47,0.8,0:10:55,0:06:53,167,182,0,,,,,,94,Asics Gel-Kayano 28
2024/6/13,0:18:26,1.98,0:09:17,0:07:04,167,184,206,,,,,,198,Asics Gel-Kayano 28
2024/6/17,0:31:29,2.87,0:10:58,0:06:55,163,189,205,,,,,,271,Asics Gel-Kayano 28
2024/6/25,0:36:16,3.42,0:10:35,0:06:59,169,183,0,,,,,,454,Asics Gel-Kayano 28
2024/7/10,0:53:31,3.72,0:14:23,0:10:02,145,161,256,188,313,603,165,192,461,New Balance 1080 v13
2024/7/11,0:45:45,2.96,0:15:25,0:12:03,139,157,243,179,291,491,161,176,340,New Balance 1080 v13
2024/7/13,0:15:41,2:09,0:07:29,0:05:48,165,183,0,327,727,308,176,190,187,New Balance 1080 v13
2024/7/15,1:04:04,6.56,0:09:46,0:08:14,163,182,299,266,399,1023,169,188,750,New Balance 1080 v13
2024/7/16,0:35:03,2.98,0:11:45,0:07:52,151,176,226,217,421,457,161,184,362,New Balance 1080 v13
2024/7/17,0:13:55,0.97,0:14:20,0:10:59,138,150,115,199,290,166,154,166,116,New Balance 1080 v13
2024/7/18,0:09:38,0.82,0:11:39,0:09:47,140,151,79,230,372,133,162,174,92,New Balance 1080 v13
2024/7/19,0:57:59,6.49,0:08:56,0:06:38,158,172,318,290,449,1007,168,180,692,Asics Magic Speed 3
2024/7/21,1:03:08,5.85,0:10:47,0:07:11,147,173,449,245,473,927,165,180,656,New Balance 1080 v13
2024/7/22,0:06:59,0.62,0:11:10,0:09:46,138,153,98,243,352,102,165,174,71,New Balance 1080 v13
2024/7/24,0:30:54,2.92,0:10:33,0:08:27,140,155,266,253,414,469,162,174,323,New Balance 1080 v13
2024/7/25,0:23:27,2.55,0:09:12,0:05:02,148,171,0,264,502,371,165,244,252,Asics Magic Speed 3
2024/7/26,0:12:07,0.99,0:12:08,0:09:13,143,151,0,235,318,171,164,174,123,New Balance 1080 v13
2024/7/27,1:00:25,6.03,0:10:01,0:08:11,148,165,243,2260,384,942,168,180,687,Asics Superblast 2
2024/7/29,0:27:17,3.15,0:08:39,0:06:53,163,177,226,304,520,498,165,182,343,Asics Magic Speed 3
2024/7/31,1:58:18,13.15,0:09:00,0:07:56,152,179,0,271,537,1921,173,186,1317,New Balance 1080 v13
2024/8/5,0:33:43,3.39,0:09:55,0:07:40,148,178,0,244,410,495,164,238,363,Asics Magic Speed 3
2024/8/6,0:11:26,0.93,0:12:12,0:07:04,131,154,98,205,413,141,152,178,106,New Balance 1080 v13
2024/8/10,0:59:18,5.74,0:10:19,0:06:22,154,181,436,256,517,910,164,180,654,New Balance 1080 v13
2024/8/12,1:15:55,6.49,0:11:41,0:09:11,141,155,308,223,328,1015,165,178,698,New Balance 1080 v13
2024/8/13,1:00:40,5,0:12:08,0:06:25,148,185,0,227,475,826,175,192,572,New Balance 1080 v13
2024/8/18,0:26:03,2.92,0:08:54,0:06:47,157,173,240,300,507,469,166,178,318,Nike Vaporfly 3
2024/8/18,0:07:32,1,0:07:29,0:06:08,160,176,102,354,479,160,168,176,97,Nike Vaporfly 3
2024/8/20,0:27:08,3.34,0:08:07,0:06:56,144,176,0,304,382,495,172,180,297,New Balance 1080 v13
2024/8/22,0:07:45,1.23,0:06:15,0:04:42,152,169,59,393,601,183,169,192,96,Nike Vaporfly 3
2024/8/28,0:29:14,3.28,0:08:54,0:07:52,166,179,0,268,811,469,174,218,379,Asics Magic Speed 3
2024/8/28,0:10:19,0.56,0:18:14,0:10:44,127,142,0,131,288,81,143,172,92,New Balance 1080 v13
2024/10/16,0:18:49,2.02,0:09:19,0:07:15,160,174,0,263,394,297,177,188,240,New Balance 1080 v13
2024/10/17,0:10:53,1.08,0:10:00,0:07:27,139,158,0,245,369,160,171,190,116,New Balance 1080 v13
2024/10/19,0:19:20,1.48,0:13:00,0:08:01,130,172,0,181,344,210,149,190,176,New Balance 1080 v13
2024/10/22,0:10:57,1:40,0:07:48,0:07:01,150,179,0,259,395,170,172,186,134,New Balance 1080 v13
2024/10/23,0:51:15,5.3,0:09:40,0:07:38,161,177,348,269,478,828,171,180,608,New Balance 1080 v13
2024/10/26,1:50:20,13.14,0:08:24,0:05:00,169,185,318,299,446,1982,179,200,1392,Nike Vaporfly 3